"ID" "ageOfParent" "sexOfParent" "survivalProb" "expectedAgeAtDeath" "mutationProbGametes" "mutationProbSC" "meanMutBias" "sdMutEffectSize" "mutationProbAgeGenes"
"702_0.0024_0.0024_-0.022_0.024_0.0004" 23 "M" 0.97232 12.1068 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 26 "M" 0.962116 10.6293 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 27 "M" 0.887471 5.37337 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 28 "M" 0.894477 5.65572 0.0024 0.0024 -0.022 0.024 4e-04
"702_0.0024_0.0024_-0.022_0.024_0.0004" 28 "M" 0.918252 6.83325 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 20 "M" 0.952806 9.54475 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 20 "M" 0.971755 12.0153 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 20 "M" 0.953067 9.57235 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 20 "M" 0.973563 12.313 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 21 "M" 0.943918 8.68266 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 22 "M" 0.97336 12.2787 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 22 "M" 0.951739 9.43322 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 25 "M" 0.938815 8.24846 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 25 "M" 0.948526 9.11121 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 26 "M" 0.917024 6.76231 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 27 "M" 0.943274 8.62555 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 27 "M" 0.93164 7.70006 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 28 "M" 0.963141 10.7625 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 29 "M" 0.941493 8.47136 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 29 "M" 0.931322 7.67722 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 29 "M" 0.965901 11.1368 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 30 "M" 0.883326 5.21734 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 32 "M" 0.976407 12.8096 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 33 "M" 0.983223 14.1658 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 33 "M" 0.955903 9.88237 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 33 "M" 0.962138 10.6321 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 33 "M" 0.922877 7.11248 0.0024 0.0024 -0.022 0.024 4e-04
"731_0.0024_0.0024_-0.022_0.024_0.0004" 33 "M" 0.979856 13.4641 0.0024 0.0024 -0.022 0.024 4e-04
