"ID" "ageOfParent" "sexOfParent" "survivalProb" "expectedAgeAtDeath" "mutationProbGametes" "mutationProbSC" "meanMutBias" "sdMutEffectSize" "mutationProbAgeGenes"
"378_0.0004_0.0004_-0.022_0.024_0" 13 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 14 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 14 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 15 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 15 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 16 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 16 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 17 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"378_0.0004_0.0004_-0.022_0.024_0" 17 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 14 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 14 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 15 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 15 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 16 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 16 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 17 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 17 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 18 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 18 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 19 "F" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 19 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 20 "F" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 20 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 21 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 21 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 22 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"447_0.0004_0.0004_-0.022_0.024_0" 22 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 30 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 30 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 31 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 31 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 32 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 33 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 33 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 33 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 33 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 33 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 34 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 36 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 36 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 36 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 37 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 37 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 38 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 38 "M" 1 19 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 38 "M" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"476_0.0004_0.0004_-0.022_0.024_0" 39 "M" 0.904837 6.12228 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 4 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 4 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 5 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 5 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 6 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 6 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 7 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 7 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 8 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 8 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 9 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 9 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 10 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 10 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 11 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 11 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 12 "F" 1 19 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 12 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
"491_0.0004_0.0004_-0.022_0.024_0" 13 "F" 0.951229 9.38076 4e-04 4e-04 -0.022 0.024 0
