"ID" "ageOfParent" "survivalProb" "expectedAgeAtDeath"
305 4 0.778801 2.84409
306 7 0.704688 2.02529
306 7 0.740818 2.37584
306 8 0.740818 2.37584
307 0 0.704688 2.02529
307 0 0.637628 1.53644
307 0 0.637628 1.53644
307 1 0.704688 2.02529
307 1 0.637628 1.53644
308 1 0.67032 1.75333
308 1 0.704688 2.02529
308 2 0.704688 2.02529
308 2 0.704688 2.02529
308 2 0.704688 2.02529
309 0 0.740818 2.37584
310 3 0.904837 6.12228
310 3 0.778801 2.84409
310 4 0.704688 2.02529
310 4 0.818731 3.50033
310 4 0.778801 2.84409
310 4 0.818731 3.50033
311 12 0.57695 1.21289
312 0 0.778801 2.84409
312 0 0.704688 2.02529
312 0 0.740818 2.37584
312 1 0.606531 1.35963
313 4 0.778801 2.84409
313 4 0.818731 3.50033
313 4 0.740818 2.37584
313 4 0.740818 2.37584
313 5 0.740818 2.37584
313 5 0.704688 2.02529
313 5 0.740818 2.37584
314 0 0.778801 2.84409
315 0 0.740818 2.37584
315 0 0.778801 2.84409
315 1 0.67032 1.75333
315 1 0.740818 2.37584
315 1 0.740818 2.37584
316 2 0.704688 2.02529
316 3 0.740818 2.37584
316 3 0.860708 4.48464
316 3 0.740818 2.37584
316 3 0.67032 1.75333
316 3 0.860708 4.48464
317 7 0.704688 2.02529
317 7 0.818731 3.50033
317 7 0.740818 2.37584
317 7 0.778801 2.84409
317 8 0.778801 2.84409
317 8 0.860708 4.48464
318 1 0.67032 1.75333
318 1 0.67032 1.75333
318 1 0.637628 1.53644
318 2 0.67032 1.75333
318 2 0.57695 1.21289
318 2 0.740818 2.37584
318 2 0.860708 4.48464
318 2 0.904837 6.12228
318 2 0.740818 2.37584
319 1 0.704688 2.02529
320 0 0.704688 2.02529
321 0 0.740818 2.37584
321 0 0.606531 1.35963
322 0 0.704688 2.02529
322 1 0.740818 2.37584
322 1 0.67032 1.75333
322 1 0.740818 2.37584
323 8 0.740818 2.37584
323 9 0.818731 3.50033
324 14 0.637628 1.53644
324 14 0.818731 3.50033
